Data S1. List of Border Protected Areas,,
WDPAID,NAME,ISO3
6,Los Glaciares,ARG
7,Lanín,ARG
8,Los Alerces,ARG
11,Baritú,ARG
12,Río Pilcomayo,ARG
15,Iguazú,ARG
17,Lago Puelo,ARG
21,El Palmar,ARG
31,Noel Kempff Mercado,BOL
33,Sajama,BOL
35,Manuripi,BOL
36,Eduardo Avaroa,BOL
54,Parque Nacional Do Pico Da Neblina,BRA
60,Parque Nacional Do Iguaçu,BRA
86,Lauca,CHL
88,Vicente Perez Rosales,CHL
89,Torres del Paine,CHL
90,Puyehue,CHL
91,Villarrica,CHL
107,Pali Aike,CHL
110,Cerro Castillo,CHL
111,Nuble,CHL
112,Alto Biobio,CHL
129,El Tuparro,COL
142,Los Katios,COL
144,Tama,COL
186,Yasuní,ECU
220,Lagunas de Montebello,MEX
236,Darién,PAN
243,Tinfunque,PRY
259,Cerros de Amotape,PER
276,Sipaliwini,SUR
305,San Miguel,URY
313,Canaima,VEN
318,Perijá,VEN
322,"Páramos de Tamá, Cobre y Judio",VEN
347,National Park Iona,AGO
597,Boucle de la Pendjari,BEN
600,Chobe,BWA
606,Bouba Ndjida,CMR
609,Kalamaloué,CMR
612,Kluane National Park Reserve Of Canada,CAN
626,Waterton Lakes National Park Of Canada,CAN
636,Point Pelee National Park Of Canada,CAN
638,Thousand Islands National Park Of Canada,CAN
639,Bamingui-Bangoran,CAF
643,Odzala Kokoua,COG
646,PIENAP,SVK
654,Lemmenjoen kansallispuisto,FIN
656,Oulangan kansallispuisto,FIN
661,Vanoise,FRA
662,Pyrénées,FRA
664,Mercantour,FRA
667,Bayerischer Wald,DEU
668,Berchtesgaden,DEU
671,Bui,GHA
674,Prespes,GRC
689,Khangchendzonga,IND
691,Dudhwa,IND
716,Yotveta,ISR
717,Parco nazionale dello Stelvio,ITA
718,Parco nazionale del Gran Paradiso,ITA
760,Mt. Elgon,KEN
779,Nyika National Park,MWI
780,Kasungu National Park,MWI
787,Gunung Mulu National Park,MYS
798,Gobiin ikh /A/,MNG
803,Langtang,NPL
804,Sagarmatha,NPL
805,Chitwan,NPL
818,Parc National du W du Niger,NER
822,Anárjohka,NOR
823,Børgefjell/Byrkije,NOR
824,Øvre Dividal,NOR
826,Femundsmarka,NOR
828,Blåfjella-Skjækerfjella/Låarte-Skæhkere,NOR
829,Rago,NOR
832,Øvre Pasvik,NOR
833,Gutulia,NOR
836,Khunjerab,PAK
848,Tatrzański Park Narodowy,POL
851,Bieszczadzki Park Narodowy,POL
852,Karkonoski Park Narodowy,POL
854,Białowieski Park Narodowy,POL
857,Pieniński Park Narodowy,POL
860,Peneda-Gerês,PRT
862,Akagera,RWA
863,Volcans,RWA
865,Niokolo Koba,SEN
867,Oiseaux du Djoudj,SEN
868,Basse-Casamance,SEN
873,Kruger National Park,ZAF
874,Kalahari Gemsbok National Park,ZAF
878,Augrabies Falls National Park,ZAF
879,Golden Gate Highlands National Park,ZAF
885,Skeleton Coast Park,NAM
893,Ordesa y Monte Perdido,ESP
904,Nimule,SSD
905,2001220 Padjelanta,SWE
912,2001224 Vadvetjåkka,SWE
915,Nationalpark,CHE
916,Serengeti National Park,TZA
922,Kilimanjaro National Park,TZA
957,Queen Elizabeth,UGA
958,Kidepo Valley,UGA
976,Big Bend,USA
977,Isle Royale National Park,USA
979,North Cascades,USA
1048,W du Burkina Faso,BFA
1050,Mavrovo,MKD
1051,Nacionalni park Durmitor,MNE
1053,Nacionalni park Fruska Gora,SRB
1055,Sutjeska,BIH
1083,Garamba,COD
1087,Sioma Ngwezi,ZMB
1102,Nyika,ZMB
1104,Gonarezhou,ZWE
1112,Kazuma Pan,ZWE
1218,Neusiedler See und Umgebung,AUT
1221,Hautes Fagnes,BEL
1229,Uzunbodjak,BGR
1242,Campo-Ma'an,CMR
1245,Lobéké,CMR
1295,Mount Nimba Integral Reserve,CIV
1297,Masai Mara,KEN
1300,Lanjak Entimau,MYS
1306,Lkhachinvandad uul,MNG
1309,Suklaphanta,NPL
1369,Kidepo,SSD
1370,Bangangai,SSD
1377,Mbarizunga,SSD
1402,Mkomazi National Park,TZA
1405,Thungyai Naresuan,THA
1415,Panom Dong Rak,THA
1416,Salawin,THA
1418,Mae Nam Phachi,THA
1422,Yod Dom,THA
1437,Matheniko,UGA
1443,Kigezi,UGA
1478,Chete,ZWE
1522,Mallan luonnonpuisto,FIN
1523,Ulvinsalon luonnonpuisto (Ystävyyden puisto),FIN
1638,Garayazi State Nature Reserve,AZE
1641,Basitchay State Nature Reserve,AZE
1649,Nigula looduskaitseala,EST
1653,Lagodekhi,GEO
1654,Ritsa,GEO
1660,Vashlovani,GEO
1671,Aksu-Dzhabagly State Nature Reserve,KAZ
1675,Besh-Aral,KGZ
1684,Čepkelių valstybinis gamtinis rezervatas,LTU
1735,Тигровая балка,TJK
1737,Kaplangurskiy,TKM
1749,Polesskiy,UKR
1766,Zaamin State Reserve,UZB
1768,Kyzylkum State Reserve,UZB
1804,Dampa,IND
1807,Katarniaghat,IND
1818,Manas,IND
1899,Kayan Mentarang,IDN
1975,TANAP,SVK
1984,Zagatala State Nature Reserve,AZE
1985,Belowezskaya Pushcha,BLR
1990,Karpatskiy,UKR
1991,Hwange,ZWE
1993,Victoria Falls,ZWE
2007,Sagarmatha National Park,NPL
2008,Białowieża Forest,BLR;POL
2015,Natural and Cultural Heritage of the Ohrid region,MKD;ALB
2017,Virunga National Park,COD
2018,Kluane / Wrangell-St Elias / Glacier Bay / Tatshenshini-Alsek,CAN;USA
2222,Estação Ecológica Rio Acre,BRA
2224,Perito Moreno,ARG
2253,Pendjari,BEN
2254,Atakora,BEN
2256,Manovo-Gounda-Saint Floris,CAF
2259,Zemongo,CAF
2261,Yata-Ngaya,CAF
2264,Nana-Barya,CAF
2315,Lengwe National Park,MWI
2320,Mwabvi Wildlife Reserve,MWI
2327,Ansongo Giraffe Reserve,MLI
2331,Tamou,NER
2336,Dinder,SDN
2340,Fazao-Malfakassa,TGO
2347,Mosi oa tunya,ZMB
2497,Nahuel Huapi,ARG
2499,Cuyabeno,ECU
2516,Galichica,MKD
2517,Triglavski narodni park,SVN
2518,Risnjak,HRV
